epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.0005000000237487257,1.1464502811431885,0.8533486127853394,1.1665276288986206,0.5887372493743896,0.062147755175828934,0.07926970720291138
1,0.0005000000237487257,0.6069115400314331,0.3327448070049286,0.42987900972366333,0.45182013511657715,0.06290306150913239,0.07567630708217621
2,0.0005000000237487257,0.41838058829307556,0.17946389317512512,0.23064233362674713,0.33947041630744934,0.02698817104101181,0.03352721035480499
3,0.0005000000237487257,0.3049192428588867,0.10613805055618286,0.136691614985466,0.2560591399669647,0.017695961520075798,0.024282095953822136
4,0.0005000000237487257,0.22644594311714172,0.06347274780273438,0.08151385188102722,0.19317391514778137,0.015236100181937218,0.02083672396838665
5,0.0005000000237487257,0.16914579272270203,0.03933935984969139,0.05057637766003609,0.14468728005886078,0.012611269019544125,0.017960965633392334
6,0.0005000000237487257,0.1254792958498001,0.025356709957122803,0.033109184354543686,0.10683023929595947,0.01302240788936615,0.01796439103782177
7,0.0005000000237487257,0.09165772050619125,0.01851544715464115,0.02466583624482155,0.0772537812590599,0.012094292789697647,0.01657453551888466
8,0.0005000000237487257,0.06551752239465714,0.016020748764276505,0.021828824654221535,0.05447668954730034,0.012234573252499104,0.016667354851961136
9,0.0005000000237487257,0.045567721128463745,0.01474054902791977,0.020055629312992096,0.03725201264023781,0.011179860681295395,0.014845271594822407
10,0.0005000000237487257,0.030674371868371964,0.012855883687734604,0.01754305325448513,0.024589616805315018,0.009467709809541702,0.012349148280918598
11,0.0005000000237487257,0.019922131672501564,0.01204411219805479,0.0165167935192585,0.015646405518054962,0.010274285450577736,0.013935916125774384
12,0.0005000000237487257,0.012427211739122868,0.01150782871991396,0.015976527705788612,0.00949521828442812,0.008735253475606441,0.011534946970641613
13,0.0005000000237487257,0.007415384519845247,0.011182918213307858,0.015467030927538872,0.005509901326149702,0.008506765589118004,0.011718317866325378
14,0.0005000000237487257,0.004225628916174173,0.01088308822363615,0.01519147027283907,0.0030537485145032406,0.009057648479938507,0.012638818472623825
15,0.0005000000237487257,0.002299051731824875,0.010588639415800571,0.014777584001421928,0.0016321915900334716,0.010091775096952915,0.014085055328905582
16,0.0005000000237487257,0.0011982426512986422,0.010115662589669228,0.01415084395557642,0.0008169026696123183,0.008674578741192818,0.012141031213104725
17,0.0005000000237487257,0.0006093695992603898,0.009716004133224487,0.013592483475804329,0.0004111667803954333,0.008906856179237366,0.012001127004623413
18,0.0005000000237487257,0.00031989882700145245,0.009511623531579971,0.01333716232329607,0.000237717991694808,0.010742814280092716,0.013458963483572006
19,0.0002500000118743628,0.00020153442164883018,0.009164988063275814,0.012858344241976738,0.00014731459668837488,0.007245384622365236,0.010112272575497627
20,0.0002500000118743628,0.00015823224384803325,0.009101965464651585,0.012755144387483597,0.00012149936810601503,0.008241689763963223,0.011166535317897797
21,0.0002500000118743628,0.0001310195220867172,0.009142507798969746,0.012771889567375183,9.917857096297666e-05,0.00803093146532774,0.010639984160661697
22,0.0002500000118743628,0.000114077003672719,0.009097344242036343,0.012666533701121807,8.773094305070117e-05,0.008084869012236595,0.010876074433326721
23,0.0002500000118743628,0.00010794011905090883,0.00924495980143547,0.012847662903368473,7.501778600271791e-05,0.007222708780318499,0.010247106663882732
24,0.0002500000118743628,0.00010750074579846114,0.00931521039456129,0.01302841491997242,8.969691407401115e-05,0.008503756485879421,0.011728565208613873
25,0.0001250000059371814,9.25138738239184e-05,0.008781403303146362,0.012263596057891846,6.973960989853367e-05,0.0074557107873260975,0.01049101259559393
26,0.0001250000059371814,9.109245002036914e-05,0.008790087886154652,0.01234056893736124,6.4941166783683e-05,0.007405581418424845,0.010014171712100506
27,0.0001250000059371814,9.575510193826631e-05,0.008978920057415962,0.012618164531886578,7.463619112968445e-05,0.00825630221515894,0.01090944092720747
28,0.0001250000059371814,9.14518313948065e-05,0.008842332288622856,0.012341650202870369,7.249298505485058e-05,0.007683097384870052,0.010674646124243736
29,0.0001250000059371814,9.275163029087707e-05,0.008919764310121536,0.01249727699905634,7.102012750692666e-05,0.00782646145671606,0.010471314191818237
