epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.0005000000237487257,1.1087884902954102,0.8036094903945923,1.0808095932006836,0.6295639872550964,0.2008516639471054,0.24157293140888214
1,0.0005000000237487257,0.6421859264373779,0.35718676447868347,0.4661928117275238,0.48116880655288696,0.09651937335729599,0.12132910639047623
2,0.0005000000237487257,0.4501321315765381,0.19938507676124573,0.25595855712890625,0.36702394485473633,0.060205262154340744,0.0791470929980278
3,0.0005000000237487257,0.33277830481529236,0.13065524399280548,0.16878342628479004,0.2785867750644684,0.04819086194038391,0.06622764468193054
4,0.0005000000237487257,0.24954789876937866,0.0976685881614685,0.1273641288280487,0.21079832315444946,0.04366939142346382,0.05866643786430359
5,0.0005000000237487257,0.18812347948551178,0.08196178823709488,0.10907922685146332,0.15872731804847717,0.04107434302568436,0.055620528757572174
6,0.0005000000237487257,0.1409585177898407,0.07178372144699097,0.09693792462348938,0.11892880499362946,0.051785990595817566,0.06585640460252762
7,0.0005000000237487257,0.10472718626260757,0.06812277436256409,0.09286532551050186,0.08676361292600632,0.04101286083459854,0.055788807570934296
8,0.0005000000237487257,0.07662392407655716,0.06598369777202606,0.09065670520067215,0.0629025250673294,0.04841430112719536,0.06582295894622803
9,0.0005000000237487257,0.05503043532371521,0.06480985879898071,0.0894225537776947,0.04490065947175026,0.05623266473412514,0.07490537315607071
10,0.0005000000237487257,0.03881240636110306,0.06423866748809814,0.08873196691274643,0.029925724491477013,0.04110974818468094,0.057605985552072525
11,0.0002500000118743628,0.029011059552431107,0.06133883446455002,0.0849088728427887,0.023817704990506172,0.03661811724305153,0.048999935388565063
12,0.0002500000118743628,0.023576488718390465,0.061022624373435974,0.08358865231275558,0.019191328436136246,0.03933367878198624,0.05592523142695427
13,0.0002500000118743628,0.019042642787098885,0.06145551800727844,0.08470901846885681,0.014643550850450993,0.036356013268232346,0.05035380646586418
14,0.0002500000118743628,0.0148774990811944,0.059206925332546234,0.08164835721254349,0.011358357965946198,0.04336284473538399,0.05535537376999855
15,0.0002500000118743628,0.011715441942214966,0.059338975697755814,0.08164317160844803,0.008342801593244076,0.039334457367658615,0.05107692629098892
16,0.0002500000118743628,0.009227451868355274,0.05922941863536835,0.08166270703077316,0.006333749275654554,0.039324626326560974,0.054040852934122086
17,0.0002500000118743628,0.007452005986124277,0.05969083309173584,0.0823364108800888,0.005350186955183744,0.05217581242322922,0.06405017524957657
18,0.0002500000118743628,0.006096361670643091,0.05944747477769852,0.08191324025392532,0.003722486086189747,0.03828103467822075,0.0545094758272171
19,0.0001250000059371814,0.005082888063043356,0.05694378912448883,0.07863716036081314,0.003988839220255613,0.04998175799846649,0.06680288910865784
20,0.0001250000059371814,0.004770306870341301,0.057863712310791016,0.08002069592475891,0.0025548029225319624,0.03680170327425003,0.04835245758295059
21,0.0001250000059371814,0.004302094224840403,0.05683788284659386,0.0784042477607727,0.002328807022422552,0.03458801284432411,0.04999062046408653
22,0.0001250000059371814,0.003939398098737001,0.05616341158747673,0.07709336280822754,0.002214534906670451,0.036778997629880905,0.052083682268857956
23,0.0001250000059371814,0.0039054614026099443,0.05764831230044365,0.07915664464235306,0.0020206356421113014,0.03830058127641678,0.051641788333654404
24,0.0001250000059371814,0.0036521160509437323,0.05649835616350174,0.07775565981864929,0.001998694147914648,0.03804068639874458,0.053539618849754333
25,0.0001250000059371814,0.003491742303594947,0.05595723167061806,0.0770677998661995,0.0018164728535339236,0.039331283420324326,0.05173497274518013
26,0.0001250000059371814,0.0034049563109874725,0.05595630407333374,0.07698193937540054,0.002930578077211976,0.048175327479839325,0.07105393707752228
27,6.25000029685907e-05,0.003212712937965989,0.05487557873129845,0.07527957111597061,0.0016950733261182904,0.03894342854619026,0.05187983065843582
28,6.25000029685907e-05,0.003048738231882453,0.053680166602134705,0.07372797280550003,0.0014180968282744288,0.032789915800094604,0.047042958438396454
29,6.25000029685907e-05,0.003073936328291893,0.054439276456832886,0.07448943704366684,0.0015859047416597605,0.034729134291410446,0.05087792128324509
